date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
1/2/2010,Iran,North Korea,1,0,Friendly,Doha,Qatar,TRUE
1/2/2010,Qatar,Mali,0,0,Friendly,Doha,Qatar,FALSE
1/2/2010,Syria,Zimbabwe,6,0,Friendly,Kuala Lumpur,Malaysia,TRUE
1/2/2010,Yemen,Tajikistan,0,1,Friendly,Sana'a,Yemen,FALSE
1/3/2010,Angola,Gambia,1,1,Friendly,Vila Real de Santo AntÃ³nio,Portugal,TRUE
1/4/2010,Egypt,Mali,1,0,Friendly,Dubai,United Arab Emirates,TRUE
1/4/2010,Tanzania,Ivory Coast,0,1,Friendly,Dar es Salaam,Tanzania,FALSE
1/5/2010,Ghana,Malawi,0,0,Friendly,Manzini,Eswatini,TRUE
1/6/2010,Bahrain,Hong Kong,4,0,AFC Asian Cup qualification,Riffa,Bahrain,FALSE
1/6/2010,Benin,Libya,1,0,Friendly,Cotonou,Benin,FALSE
1/6/2010,China PR,Syria,0,0,AFC Asian Cup qualification,Hangzhou,China PR,FALSE
1/6/2010,Gabon,Mozambique,2,0,Friendly,Bloemfontein,South Africa,TRUE
1/6/2010,Indonesia,Oman,1,2,AFC Asian Cup qualification,Jakarta,Indonesia,FALSE
1/6/2010,Kuwait,Australia,2,2,AFC Asian Cup qualification,Kuwait City,Kuwait,FALSE
1/6/2010,Lebanon,Vietnam,1,1,AFC Asian Cup qualification,Sidon,Lebanon,FALSE
1/6/2010,Singapore,Iran,1,3,AFC Asian Cup qualification,Singapore,Singapore,FALSE
1/6/2010,Thailand,Jordan,0,0,AFC Asian Cup qualification,Bangkok,Thailand,FALSE
1/6/2010,United Arab Emirates,Malaysia,1,0,AFC Asian Cup qualification,Dubai,United Arab Emirates,FALSE
1/6/2010,Yemen,Japan,2,3,AFC Asian Cup qualification,Sana'a,Yemen,FALSE
1/7/2010,Rwanda,Ivory Coast,0,2,Friendly,Dar es Salaam,Tanzania,TRUE
1/9/2010,Kenya,Cameroon,1,3,Friendly,Nairobi,Kenya,FALSE
1/9/2010,Tunisia,Gambia,1,2,Friendly,RadÃ¨s,Tunisia,FALSE
1/9/2010,Zambia,South Korea,4,2,Friendly,Johannesburg,South Africa,TRUE
1/10/2010,Angola,Mali,4,4,African Cup of Nations,Luanda,Angola,FALSE
1/11/2010,Ivory Coast,Burkina Faso,0,0,African Cup of Nations,Cabinda,Angola,TRUE
1/11/2010,Malawi,Algeria,3,0,African Cup of Nations,Luanda,Angola,TRUE
1/12/2010,Egypt,Nigeria,3,1,African Cup of Nations,Benguela,Angola,TRUE
1/12/2010,Mozambique,Benin,2,2,African Cup of Nations,Benguela,Angola,TRUE
1/13/2010,Cameroon,Gabon,0,1,African Cup of Nations,Lubango,Angola,TRUE
1/13/2010,Zambia,Tunisia,1,1,African Cup of Nations,Lubango,Angola,TRUE
1/14/2010,Angola,Malawi,2,0,African Cup of Nations,Luanda,Angola,FALSE
1/14/2010,Mali,Algeria,0,1,African Cup of Nations,Luanda,Angola,TRUE
1/15/2010,Ivory Coast,Ghana,3,1,African Cup of Nations,Cabinda,Angola,TRUE
1/15/2010,Yemen,Kenya,3,1,Friendly,Sana'a,Yemen,FALSE
1/16/2010,Egypt,Mozambique,2,0,African Cup of Nations,Benguela,Angola,TRUE
1/16/2010,Nigeria,Benin,1,0,African Cup of Nations,Benguela,Angola,TRUE
1/17/2010,Cameroon,Zambia,3,2,African Cup of Nations,Lubango,Angola,TRUE
1/17/2010,Gabon,Tunisia,0,0,African Cup of Nations,Lubango,Angola,TRUE
1/17/2010,Thailand,Singapore,1,0,King's Cup,Nakhon Ratchasima,Thailand,FALSE
1/17/2010,Vietnam,China PR,1,2,AFC Asian Cup qualification,Hanoi,Vietnam,FALSE
1/18/2010,Angola,Algeria,0,0,African Cup of Nations,Luanda,Angola,FALSE
1/18/2010,Finland,South Korea,0,2,Friendly,MÃ¡laga,Spain,TRUE
1/18/2010,Mali,Malawi,3,1,African Cup of Nations,Cabinda,Angola,TRUE
1/19/2010,Burkina Faso,Ghana,0,1,African Cup of Nations,Luanda,Angola,TRUE
1/20/2010,Chile,Panama,2,1,Friendly,Coquimbo,Chile,FALSE
1/20/2010,Egypt,Benin,2,0,African Cup of Nations,Benguela,Angola,TRUE
1/20/2010,Nigeria,Mozambique,3,0,African Cup of Nations,Lubango,Angola,TRUE
1/20/2010,Oman,Sweden,0,1,Friendly,Muscat,Oman,FALSE
1/20/2010,Thailand,Poland,1,3,King's Cup,Nakhon Ratchasima,Thailand,FALSE
1/20/2010,Yemen,Bahrain,3,0,AFC Asian Cup qualification,Sana'a,Yemen,FALSE
1/21/2010,Cameroon,Tunisia,2,2,African Cup of Nations,Lubango,Angola,TRUE
1/21/2010,Gabon,Zambia,1,2,African Cup of Nations,Benguela,Angola,TRUE
1/22/2010,Latvia,South Korea,0,1,Friendly,MÃ¡laga,Spain,TRUE
1/23/2010,Poland,Singapore,6,1,King's Cup,Nakhon Ratchasima,Thailand,TRUE
1/23/2010,Syria,Sweden,1,1,Friendly,Damascus,Syria,FALSE
1/23/2010,United States,Honduras,1,3,Friendly,Carson,United States,FALSE
1/24/2010,Angola,Ghana,0,1,African Cup of Nations,Luanda,Angola,FALSE
1/24/2010,Ivory Coast,Algeria,2,3,African Cup of Nations,Cabinda,Angola,TRUE
1/25/2010,Egypt,Cameroon,3,1,African Cup of Nations,Benguela,Angola,TRUE
1/25/2010,Zambia,Nigeria,0,0,African Cup of Nations,Lubango,Angola,TRUE
1/26/2010,Argentina,Costa Rica,3,2,Friendly,San Juan,Argentina,FALSE
1/27/2010,South Africa,Zimbabwe,3,0,Friendly,Durban,South Africa,FALSE
1/28/2010,Algeria,Egypt,0,4,African Cup of Nations,Benguela,Angola,TRUE
1/28/2010,Ghana,Nigeria,1,0,African Cup of Nations,Luanda,Angola,TRUE
1/30/2010,Nigeria,Algeria,1,0,African Cup of Nations,Benguela,Angola,TRUE
1/31/2010,Ghana,Egypt,0,1,African Cup of Nations,Luanda,Angola,TRUE
1/31/2010,Jamaica,Canada,1,0,Friendly,Kingston,Jamaica,FALSE
2/2/2010,Japan,Venezuela,0,0,Friendly,ÅŒita,Japan,FALSE
2/6/2010,Japan,China PR,0,0,EAFF Championship,Tokyo,Japan,FALSE
2/7/2010,South Korea,Hong Kong,5,0,EAFF Championship,Tokyo,Japan,TRUE
2/10/2010,Argentina,Jamaica,2,1,Friendly,Mar del Plata,Argentina,FALSE
2/10/2010,China PR,South Korea,3,0,EAFF Championship,Tokyo,Japan,TRUE
2/11/2010,Japan,Hong Kong,3,0,EAFF Championship,Tokyo,Japan,FALSE
2/14/2010,Hong Kong,China PR,0,2,EAFF Championship,Tokyo,Japan,TRUE
2/14/2010,Japan,South Korea,1,3,EAFF Championship,Tokyo,Japan,FALSE
2/16/2010,Sri Lanka,Myanmar,0,4,AFC Challenge Cup,Colombo,Sri Lanka,FALSE
2/16/2010,Tajikistan,Bangladesh,1,2,AFC Challenge Cup,Colombo,Sri Lanka,TRUE
2/17/2010,North Korea,Turkmenistan,1,1,AFC Challenge Cup,Colombo,Sri Lanka,TRUE
2/18/2010,Bangladesh,Myanmar,1,2,AFC Challenge Cup,Colombo,Sri Lanka,TRUE
2/18/2010,Sri Lanka,Tajikistan,1,3,AFC Challenge Cup,Colombo,Sri Lanka,FALSE
2/19/2010,Kuwait,Syria,1,1,Friendly,Al Ain,United Arab Emirates,TRUE
2/19/2010,Kyrgyzstan,North Korea,0,4,AFC Challenge Cup,Colombo,Sri Lanka,TRUE
2/20/2010,Sri Lanka,Bangladesh,3,0,AFC Challenge Cup,Colombo,Sri Lanka,FALSE
2/20/2010,Tajikistan,Myanmar,3,0,AFC Challenge Cup,Colombo,Sri Lanka,TRUE
2/21/2010,Turkmenistan,Kyrgyzstan,1,0,AFC Challenge Cup,Colombo,Sri Lanka,TRUE
2/24/2010,North Korea,Myanmar,5,0,AFC Challenge Cup,Colombo,Sri Lanka,TRUE
2/24/2010,Mexico,Bolivia,5,0,Friendly,San Francisco,United States,TRUE
2/24/2010,Tajikistan,Turkmenistan,0,2,AFC Challenge Cup,Colombo,Sri Lanka,TRUE
2/24/2010,United States,El Salvador,2,1,Friendly,Tampa,United States,FALSE
2/25/2010,Jordan,Azerbaijan,0,2,Friendly,Amman,Jordan,FALSE
2/25/2010,Kuwait,Bahrain,4,1,Friendly,Al Ain,United Arab Emirates,TRUE
2/25/2010,Turkmenistan,North Korea,1,1,AFC Challenge Cup,Colombo,Sri Lanka,TRUE
2/27/2010,Malaysia,Yemen,1,0,Friendly,Kuala Lumpur,Malaysia,FALSE
2/27/2010,Tajikistan,Myanmar,1,0,AFC Challenge Cup,Colombo,Sri Lanka,TRUE
3/2/2010,Guadeloupe,Saint Kitts and Nevis,2,1,Friendly,Vieux-Habitants,Guadeloupe,FALSE
3/2/2010,Republic of Ireland,Brazil,0,2,Friendly,London,England,TRUE
3/3/2010,Albania,Northern Ireland,1,0,Friendly,Tirana,Albania,FALSE
3/3/2010,Algeria,Serbia,0,3,Friendly,Algiers,Algeria,FALSE
3/3/2010,Angola,Latvia,1,1,Friendly,Luanda,Angola,FALSE
3/3/2010,Armenia,Belarus,1,3,Friendly,Antalya,Turkey,TRUE
3/3/2010,Australia,Indonesia,1,0,AFC Asian Cup qualification,Brisbane,Australia,FALSE
3/3/2010,Austria,Denmark,2,1,Friendly,Vienna,Austria,FALSE
3/3/2010,Belgium,Croatia,0,1,Friendly,Brussels,Belgium,FALSE
3/3/2010,Bosnia and Herzegovina,Ghana,2,1,Friendly,Sarajevo,Bosnia and Herzegovina,FALSE
3/3/2010,Cyprus,Iceland,0,0,Friendly,Larnaca,Cyprus,FALSE
3/3/2010,El Salvador,Guatemala,1,2,Friendly,Los Angeles,United States,TRUE
3/3/2010,England,Egypt,3,1,Friendly,London,England,FALSE
3/3/2010,France,Spain,0,2,Friendly,Saint-Denis,France,FALSE
3/3/2010,Georgia,Estonia,2,1,Friendly,Tbilisi,Georgia,FALSE
3/3/2010,Germany,Argentina,0,1,Friendly,Munich,Germany,FALSE
3/3/2010,Greece,Senegal,0,2,Friendly,VÃ³los,Greece,FALSE
3/3/2010,Hong Kong,Yemen,0,0,AFC Asian Cup qualification,So Kon Po,Hong Kong,FALSE
3/3/2010,Hungary,Russia,1,1,Friendly,Budapest,Hungary,FALSE
3/3/2010,Iran,Thailand,1,0,AFC Asian Cup qualification,Teheran,Iran,FALSE
3/3/2010,Italy,Cameroon,0,0,Friendly,Monaco,Monaco,TRUE
3/3/2010,Ivory Coast,South Korea,0,2,Friendly,London,England,TRUE
