date,home_team,away_team,winner
1/25/2010,Zambia,Nigeria,Nigeria
6/29/2010,Paraguay,Japan,Paraguay
7/2/2010,Uruguay,Ghana,Uruguay
1/25/2011,Japan,South Korea,Japan
6/18/2011,Costa Rica,Honduras,Honduras
6/19/2011,Panama,El Salvador,Panama
7/16/2011,Argentina,Uruguay,Uruguay
7/17/2011,Brazil,Paraguay,Paraguay
7/20/2011,Paraguay,Venezuela,Paraguay
2/5/2012,Gabon,Mali,Mali
2/12/2012,Zambia,Ivory Coast,Zambia
6/3/2012,Finland,Latvia,Latvia
6/24/2012,England,Italy,Italy
6/27/2012,Portugal,Spain,Spain
2/2/2013,South Africa,Mali,Mali
2/6/2013,Burkina Faso,Ghana,Burkina Faso
6/27/2013,Spain,Italy,Spain
6/30/2013,Uruguay,Italy,Italy
7/13/2013,Zimbabwe,Malawi,Zimbabwe
7/14/2013,Angola,Lesotho,Lesotho
7/17/2013,Zambia,South Africa,Zambia
5/29/2014,Latvia,Estonia,Latvia
6/28/2014,Brazil,Chile,Brazil
6/29/2014,Costa Rica,Greece,Costa Rica
7/5/2014,Netherlands,Costa Rica,Netherlands
7/9/2014,Netherlands,Argentina,Argentina
1/23/2015,Iran,Iraq,Iraq
1/23/2015,Japan,United Arab Emirates,United Arab Emirates
2/7/2015,Equatorial Guinea,DR Congo,DR Congo
2/8/2015,Ivory Coast,Ghana,Ivory Coast
5/24/2015,Zambia,Namibia,Namibia
5/24/2015,South Africa,Botswana,Botswana
5/25/2015,Mozambique,Malawi,Mozambique
5/27/2015,South Africa,Malawi,Malawi
6/26/2015,Argentina,Colombia,Argentina
6/27/2015,Brazil,Paraguay,Paraguay
7/4/2015,Chile,Argentina,Chile
7/19/2015,Trinidad and Tobago,Panama,Panama
7/25/2015,United States,Panama,Panama
6/11/2016,Papua New Guinea,New Zealand,New Zealand
6/17/2016,Peru,Colombia,Colombia
6/18/2016,Namibia,Botswana,Botswana
6/18/2016,South Africa,Lesotho,South Africa
6/19/2016,Zambia,Eswatini,Eswatini
6/22/2016,Botswana,DR Congo,Botswana
6/25/2016,Switzerland,Poland,Poland
6/26/2016,Argentina,Chile,Chile
6/30/2016,Poland,Portugal,Portugal
7/2/2016,Germany,Italy,Germany
2/1/2017,Burkina Faso,Egypt,Egypt
6/28/2017,Portugal,Chile,Chile
7/1/2017,Namibia,Lesotho,Lesotho
7/7/2017,Tanzania,Lesotho,Tanzania
6/2/2018,Zambia,Namibia,Zambia
6/3/2018,South Africa,Madagascar,Madagascar
6/3/2018,Zimbabwe,Botswana,Zimbabwe
6/6/2018,Lesotho,Zimbabwe,Zimbabwe
7/1/2018,Russia,Spain,Russia
7/1/2018,Croatia,Denmark,Croatia
7/3/2018,Colombia,England,England
7/7/2018,Russia,Croatia,Croatia
1/20/2019,Jordan,Vietnam,Vietnam
1/21/2019,Australia,Uzbekistan,Australia
6/1/2019,Lesotho,Uganda,Lesotho
6/2/2019,South Africa,Botswana,Botswana
6/2/2019,Zambia,Malawi,Zambia
6/4/2019,Uganda,South Africa,South Africa
6/5/2019,Zimbabwe,Zambia,Zambia
6/7/2019,Lesotho,Zimbabwe,Zimbabwe
6/7/2019,South Africa,Malawi,South Africa
6/9/2019,Switzerland,England,England
6/27/2019,Brazil,Paraguay,Brazil
6/28/2019,Colombia,Chile,Chile
6/29/2019,Mexico,Costa Rica,Mexico
6/29/2019,Uruguay,Peru,Peru
7/5/2019,Morocco,Benin,Benin
7/7/2019,Madagascar,DR Congo,Madagascar
7/8/2019,Ghana,Tunisia,Tunisia
7/11/2019,Ivory Coast,Algeria,Algeria
6/3/2021,Mexico,Costa Rica,Mexico
6/6/2021,Honduras,Costa Rica,Honduras
6/28/2021,France,Switzerland,Switzerland
7/2/2021,Peru,Paraguay,Peru
7/2/2021,Switzerland,Spain,Spain
7/3/2021,Uruguay,Colombia,Colombia
7/6/2021,Italy,Spain,Italy
7/6/2021,Trinidad and Tobago,French Guiana,Trinidad and Tobago
7/6/2021,Argentina,Colombia,Argentina
7/6/2021,Guatemala,Guadeloupe,Guadeloupe
7/11/2021,England,Italy,Italy
7/16/2021,Senegal,Eswatini,Senegal
7/18/2021,Eswatini,Mozambique,Eswatini
7/18/2021,South Africa,Senegal,South Africa
11/19/2021,Sri Lanka,Seychelles,Seychelles
